id,pop,survey,season,sampler,site,site_code,capture_time,release_time,recapture,FTA_blood,field_sample_reference,blood_sample_batch,lon,lat
N_NOV16,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,6/05/2023 11:58,6/05/2023 12:25,No,Yes,<Null>,Nov_2023,146.344943,-21.62763
N_NOV17,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,6/05/2023 11:58,6/05/2023 12:30,No,Yes,<Null>,Nov_2023,146.344943,-21.62763
N_NOV18,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,6/05/2023 11:58,6/05/2023 12:32,No,Yes,<Null>,Nov_2023,146.344943,-21.62763
N_NOV19,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tommahawk tank,HPTT,6/05/2023 14:35,6/05/2023 14:45,No,Yes,<Null>,Nov_2023,146.330789,-21.735214
N_NOV20,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tommahawk tank,HPTT,6/05/2023 14:50,6/05/2023 14:58,No,Yes,<Null>,Nov_2023,146.330789,-21.735214
N_NOV21,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tommahawk tank,HPTT,6/05/2023 14:50,6/05/2023 15:12,No,Yes,<Null>,Nov_2023,146.330789,-21.735214
N_NOV22,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tommahawk tank,HPTT,6/05/2023 14:50,6/05/2023 15:18,No,Yes,<Null>,Nov_2023,146.330789,-21.735214
N_NOV23,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tommahawk tank,HPTT,6/05/2023 14:50,6/05/2023 15:23,No,Yes,<Null>,Nov_2023,146.330789,-21.735214
N_NOV24,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tommahawk tank,HPTT,6/05/2023 14:50,6/05/2023 15:26,No,Yes,<Null>,Nov_2023,146.330789,-21.735214
N_NOV25,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,4/05/2023 14:45,4/05/2023 15:05,No,Yes,<Null>,Nov_2023,146.344943,-21.62763
N_NOV26,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,4/05/2023 14:45,4/05/2023 15:07,No,Yes,<Null>,Nov_2023,146.344943,-21.62763
N_NOV27,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,4/05/2023 11:28,4/05/2023 11:38,No,Yes,<Null>,Nov_2023,146.344922,-21.627626
N_NOV28,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,4/05/2023 11:35,4/05/2023 11:48,No,Yes,<Null>,Nov_2023,146.344922,-21.627626
N_NOV29,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,4/05/2023 11:48,4/05/2023 12:08,No,Yes,<Null>,Nov_2023,146.344922,-21.627626
N_NOV30,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,4/05/2023 11:50,4/05/2023 12:09,No,Yes,<Null>,Nov_2023,146.344922,-21.627626
N_NOV31,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,4/05/2023 11:50,4/05/2023 12:22,No,Yes,<Null>,Nov_2023,146.344922,-21.627626
N_NOV32,North,2023 Wet Season,Wet,Breanna Williams,Hyde park- tank on the hill,HPHT,4/05/2023 11:50,4/05/2023 12:27,No,Yes,<Null>,Nov_2023,146.344922,-21.627626
