"id","pop","survey","season","sampler","site","site_code","capture_time","release_time","recapture","FTA_blood","field_sample_reference","blood_sample_batch","lon","lat","service","plate_location","sex"
"C_BTF58","Central","2021 Dry Season","Dry","Dean Jones","Four Mile Bore","4MB","15/09/2021 12:13","15/09/2021 12:34","Yes","Yes","BTF58","Jul_2022",146.29508,-22.01683,"DPeop22-7457","1-B8","M"
"C_BTF11","Central","2021 Dry Season","Dry","Dean Jones","10 Mile Bore","10MB","8/09/2021 1:40","8/09/2021 2:10","No","Yes","BTF11","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-C2","M"
"C_BTF27","Central","2021 Dry Season","Dry","Dean Jones","Three-ways Fence Scrape","3WFS","13/09/2021 11:02","13/09/2021 11:28","No","Yes","BTF27","Jul_2022",146.333546,-21.948902,"DPeop22-7457","1-C4","M"
"C_BTF35","Central","2021 Dry Season","Dry","Dean Jones","Three-ways Fence Scrape","3WFS","13/09/2021 1:47","13/09/2021 2:05","No","Yes","BTF35","Jul_2022",146.333546,-21.948902,"DPeop22-7457","1-C5","M"
"C_BTF12","Central","2021 Dry Season","Dry","Dean Jones","Number 2 Dam","N2D","9/09/2021 10:56","9/09/2021 11:35","No","Yes","BTF12","Jul_2022",146.30724,-21.94793,"DPeop22-7457","1-D2","M"
"C_BTF28","Central","2021 Dry Season","Dry","Dean Jones","Three-ways Fence Scrape","3WFS","13/09/2021 11:19","13/09/2021 12:01","No","Yes","BTF28","Jul_2022",146.333546,-21.948902,"DPeop22-7457","1-D4","M"
"C_BTF36","Central","2021 Dry Season","Dry","Dean Jones","Three-ways Fence Scrape","3WFS","13/09/2021 2:27","13/09/2021 2:44","No","Yes","BTF36","Jul_2022",146.333546,-21.948902,"DPeop22-7457","1-D5","F"
"C_BTF44","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","14/09/2021 12:15","14/09/2021 12:52","No","Yes","BTF44","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-D6","M"
"C_BTF52","Central","2021 Dry Season","Dry","Dean Jones","Four Mile Bore","4MB","15/09/2021 9:18","15/09/2021 10:02","No","Yes","BTF52","Jul_2022",146.29508,-22.01683,"DPeop22-7457","1-D7","F"
"C_BTF60","Central","2021 Dry Season","Dry","Dean Jones","Four Mile Bore","4MB","15/09/2021 12:13","15/09/2021 1:03","No","Yes","BTF60","Jul_2022",146.29508,-22.01683,"DPeop22-7457","1-D8","F"
"C_BTF5","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","7/09/2021 11:50","7/09/2021 12:44","No","Yes","BTF5","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-E1","M"
"C_BTF37","Central","2021 Dry Season","Dry","Dean Jones","Three-ways Fence Scrape","3WFS","13/09/2021 3:30","13/09/2021 3:50","No","Yes","BTF37","Jul_2022",146.333546,-21.948902,"DPeop22-7457","1-E5","F"
"C_BTF61","Central","2021 Dry Season","Dry","Dean Jones","Four Mile Bore","4MB","15/09/2021 1:54","15/09/2021 2:06","Yes","Yes","BTF61","Jul_2022",146.29508,-22.01683,"DPeop22-7457","1-E8","M"
"C_BTF14","Central","2021 Dry Season","Dry","Dean Jones","Four Mile Bore","4MB","10/09/2021 12:45","10/09/2021 1:02","No","Yes","BTF14","Jul_2022",146.29508,-22.01683,"DPeop22-7457","1-F2","F"
"C_BTF30","Central","2021 Dry Season","Dry","Dean Jones","Three-ways Fence Scrape","3WFS","13/09/2021 11:33","13/09/2021 12:20","No","Yes","BTF30","Jul_2022",146.333546,-21.948902,"DPeop22-7457","1-F4","F"
"C_BTF38","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","14/09/2021 10:06","14/09/2021 10:22","Yes","Yes","BTF38","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-F5","F"
"C_BTF62","Central","2021 Dry Season","Dry","Dean Jones","Number 2 Dam","N2D","16/09/2021 10:04","16/09/2021 10:28","No","Yes","BTF62","Jul_2022",146.31,-21.946,"DPeop22-7457","1-F8","M"
"C_BTF7","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","7/09/2021 1:50","7/09/2021 2:19","No","Yes","BTF7","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-G1","F"
"C_BTF15","Central","2021 Dry Season","Dry","Dean Jones","Four Mile Bore","4MB","10/09/2021 12:50","10/09/2021 1:22","No","No","BTF15","Jul_2022",146.29508,-22.01683,"DPeop22-7457","1-G2","M"
"C_BTF31","Central","2021 Dry Season","Dry","Dean Jones","Three-ways Fence Scrape","3WFS","13/09/2021 11:33","13/09/2021 12:30","No","Yes","BTF31","Jul_2022",146.333546,-21.948902,"DPeop22-7457","1-G4","F"
"C_BTF39","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","14/09/2021 10:06","14/09/2021 10:31","No","Yes","BTF39","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-G5","F"
"C_BTF47","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","14/09/2021 1:57","14/09/2021 2:20","No","Yes","BTF47","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-G6","M"
"C_BTF63","Central","2021 Dry Season","Dry","Dean Jones","Number 2 Dam","N2D","16/09/2021 10:04","16/09/2021 10:39","No","Yes","BTF63","Jul_2022",146.31,-21.946,"DPeop22-7457","1-G8","F"
"C_BTF8","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","7/09/2021 1:50","7/09/2021 2:47","No","Yes","BTF8","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-H1","M"
"C_BTF16","Central","2021 Dry Season","Dry","Dean Jones","Four Mile Bore","4MB","10/09/2021 2:00","10/09/2021 2:15","No","Yes","BTF16","Jul_2022",146.29508,-22.01683,"DPeop22-7457","1-H2","M"
"C_BTF24","Central","2021 Dry Season","Dry","Dean Jones","Number 2 Dam","N2D","12/09/2021 12:10","12/09/2021 12:50","No","Yes","BTF24","Jul_2022",146.3449,-21.95086,"DPeop22-7457","1-H3","F"
"C_BTF32","Central","2021 Dry Season","Dry","Dean Jones","Three-ways Fence Scrape","3WFS","13/09/2021 11:33","13/09/2021 12:41","No","Yes","BTF32","Jul_2022",146.333546,-21.948902,"DPeop22-7457","1-H4","M"
"C_BTF40","Central","2021 Dry Season","Dry","Dean Jones","11 Mile Scrape","11MS","14/09/2021 10:06","14/09/2021 11:03","No","Yes","BTF40","Jul_2022",146.271978,-21.914986,"DPeop22-7457","1-H5","M"
"C_BTF56","Central","2021 Dry Season","Dry","Dean Jones","Four Mile Bore","4MB","15/09/2021 10:51","15/09/2021 11:46","No","Yes","BTF56","Jul_2022",146.29508,-22.01683,"DPeop22-7457","1-H7","M"
"C_BTF64","Central","2021 Dry Season","Dry","Dean Jones","Number 2 Dam","N2D","16/09/2021 11:05","16/09/2021 11:28","No","Yes","BTF64","Jul_2022",146.31,-21.946,"DPeop22-7457","1-H8","F"
"C_NOV73","Central","2022 Early Wet Season","Early Wet","Breanna Williams","Three-ways Fence Scrape","3WFS","17/02/2022 4:28","17/02/2022 17:40","No","Yes","BTF129","Nov_2023",146.34478,-21.950928,"DPoep23-8916","1-A10","F"
"C_NOV81","Central","2022 Wet Season","Wet","Emily Drummond","Three-ways Fence Scrape","3WFS","6/06/2022 3:50","6/06/2022 4:56","Yes","Yes","BTF169","Nov_2023",146.345044,-21.950855,"DPoep23-8916","1-A11","F"
"C_NOV89","Central","2022 Wet Season","Wet","Dean Jones","Boundary Rd 6km N 4mile bore","BR","7/06/2022 0:15","7/06/2022 0:55","No","Yes","BTF176","Nov_2023",146.271546,-21.962496,"DPoep23-8916","1-A12","M"
"C_NOV65","Central","2022 Dry Season","Dry","Breanna Williams","Spider Alley","SA","10/10/2022 14:00","10/10/2022 14:57","No","Yes","BTF250","Nov_2023",146.259335,-21.884075,"DPoep23-8916","1-A9","M"
"C_NOV74","Central","2022 Early Wet Season","Early Wet","Breanna Williams","Scrape on track SW of Ten Mile","SWTM","19/02/2022 9:36","19/02/2022 10:11","No","Yes","BTF130","Nov_2023",146.237134,-21.936644,"DPoep23-8916","1-B10","F"
"C_NOV90","Central","2022 Wet Season","Wet","Breanna Williams","Spider Alley","SA","10/06/2022 1:30","10/06/2022 2:46","No","Yes","BTF201","Nov_2023",146.259302,-21.883999,"DPoep23-8916","1-B12","F"
"C_NOV58","Central","2022 Dry Season","Dry","Breanna Williams","11 Mile Scrape","11MS","7/10/2022 9:10","7/10/2022 10:15","No","Yes","BTF231","Nov_2023",146.272037,-21.914979,"DPoep23-8916","1-B8","F"
"C_NOV66","Central","2022 Dry Season","Dry","Breanna Williams","Spider Alley","SA","10/10/2022 15:22","10/10/2022 15:45","No","Yes","BTF252","Nov_2023",146.259335,-21.884075,"DPoep23-8916","1-B9","F"
